"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"change"
"hsa-miR-373-5p"	-1.03306722032628	2.72325072171948	87.2107726022348	9.75510153709226e-21	1.28308276687872e-19	"DOWN"
"hsa-miR-664a-5p"	2.32305544609847	1.52563743356106	86.8237721662838	1.18634934195738e-20	1.55127317462965e-19	"UP"
"hsa-miR-199b-5p"	-1.01684642921685	8.16728724891214	86.4965861821861	1.39978732169139e-20	1.8197235181988e-19	"DOWN"
"hsa-miR-3182"	1.74188157501636	1.87247768142659	85.8862962156343	1.90584955925516e-20	2.46328301415869e-19	"UP"
"hsa-miR-329-5p"	0.915437643368734	3.63778031528087	85.0169522088154	2.95817949679659e-20	3.80143066369953e-19	"NOT"
"hsa-miR-6867-3p"	1.43253411520829	1.95566424580606	84.8545354113894	3.21143303673303e-20	4.1032938686486e-19	"UP"
"hsa-miR-504-3p"	-1.26107067176726	1.30821689895199	84.72063505369	3.43645169140406e-20	4.36585567157925e-19	"DOWN"
"hsa-miR-1299"	1.17636987273691	5.05509350314202	84.2778358840346	4.29907784971132e-20	5.43092546438108e-19	"UP"
"hsa-miR-1237-5p"	0.907160194631705	4.00549442968846	83.8069439358815	5.45528587842833e-20	6.85281978885716e-19	"NOT"
"hsa-miR-7161-3p"	2.25692890080543	1.39913974105192	83.7521982511222	5.60846587964252e-20	7.00588251781043e-19	"UP"
"hsa-miR-3616-5p"	-0.805704674058101	2.41342681764084	83.5755800422924	6.13259509072162e-20	7.6180459015853e-19	"NOT"
"hsa-miR-17-5p"	1.1506647367201	8.77779828372215	83.4474297965658	6.54330915549008e-20	8.08333661418553e-19	"UP"
"hsa-miR-1237-3p"	-1.13597894835526	1.53448725948878	82.696101409122	9.56897951713419e-20	1.17561748353363e-18	"DOWN"
"hsa-miR-943"	-1.00680750194965	2.37242113527968	82.5674605552992	1.02124503613225e-19	1.24781633923045e-18	"DOWN"
"hsa-miR-195-5p"	1.55250355185107	1.82262848128132	82.2094569877297	1.22402811115029e-19	1.48746024811524e-18	"UP"
